"Step","male_silero - loss/g/fm","male_silero - loss/g/fm__MIN","male_silero - loss/g/fm__MAX"
"402","7.761101722717285","7.761101722717285","7.761101722717285"
"403","7.385806560516357","7.385806560516357","7.385806560516357"
"404","8.556857109069824","8.556857109069824","8.556857109069824"
"405","6.4037885665893555","6.4037885665893555","6.4037885665893555"
"406","8.092656135559082","8.092656135559082","8.092656135559082"
"407","7.279587745666504","7.279587745666504","7.279587745666504"
"408","8.226676940917969","8.226676940917969","8.226676940917969"
"409","8.04987621307373","8.04987621307373","8.04987621307373"
"410","7.422398567199707","7.422398567199707","7.422398567199707"
"411","7.749692916870117","7.749692916870117","7.749692916870117"
"412","7.548901081085205","7.548901081085205","7.548901081085205"
"413","7.763219356536865","7.763219356536865","7.763219356536865"
"414","8.14769458770752","8.14769458770752","8.14769458770752"
"415","7.75438117980957","7.75438117980957","7.75438117980957"
"416","6.790163040161133","6.790163040161133","6.790163040161133"
"417","7.400476455688477","7.400476455688477","7.400476455688477"
"418","5.888322830200195","5.888322830200195","5.888322830200195"
"419","7.350838661193848","7.350838661193848","7.350838661193848"
"420","7.6987810134887695","7.6987810134887695","7.6987810134887695"
"421","8.226577758789062","8.226577758789062","8.226577758789062"
"422","7.844613552093506","7.844613552093506","7.844613552093506"
"423","8.37167739868164","8.37167739868164","8.37167739868164"
"424","7.521632671356201","7.521632671356201","7.521632671356201"
"425","7.591447353363037","7.591447353363037","7.591447353363037"
"426","7.690376281738281","7.690376281738281","7.690376281738281"
"427","7.2512102127075195","7.2512102127075195","7.2512102127075195"
"428","7.730589389801025","7.730589389801025","7.730589389801025"
"429","6.696024417877197","6.696024417877197","6.696024417877197"
"430","6.7472333908081055","6.7472333908081055","6.7472333908081055"
"431","6.683475971221924","6.683475971221924","6.683475971221924"
"432","7.42286491394043","7.42286491394043","7.42286491394043"
"433","7.205397129058838","7.205397129058838","7.205397129058838"
"434","7.735056400299072","7.735056400299072","7.735056400299072"
"435","8.23204231262207","8.23204231262207","8.23204231262207"
"436","7.334157466888428","7.334157466888428","7.334157466888428"
"437","8.026802062988281","8.026802062988281","8.026802062988281"
"438","6.288839817047119","6.288839817047119","6.288839817047119"
"439","7.106348037719727","7.106348037719727","7.106348037719727"
"440","6.684090614318848","6.684090614318848","6.684090614318848"
"441","7.747048377990723","7.747048377990723","7.747048377990723"
"442","8.210843086242676","8.210843086242676","8.210843086242676"
"443","7.754307746887207","7.754307746887207","7.754307746887207"
"444","7.629436492919922","7.629436492919922","7.629436492919922"
"445","8.709220886230469","8.709220886230469","8.709220886230469"
"446","6.377287864685059","6.377287864685059","6.377287864685059"
"447","7.1501922607421875","7.1501922607421875","7.1501922607421875"
"448","7.871267318725586","7.871267318725586","7.871267318725586"
"449","7.630232810974121","7.630232810974121","7.630232810974121"
"450","6.56002140045166","6.56002140045166","6.56002140045166"
"451","7.407988548278809","7.407988548278809","7.407988548278809"
"452","8.66069507598877","8.66069507598877","8.66069507598877"
"453","7.76082181930542","7.76082181930542","7.76082181930542"
"454","7.754835605621338","7.754835605621338","7.754835605621338"
"455","8.818469047546387","8.818469047546387","8.818469047546387"
