"Step","female-silero - loss/g/total","female-silero - loss/g/total__MIN","female-silero - loss/g/total__MAX"
"381","35.95075988769531","35.95075988769531","35.95075988769531"
"382","36.41410827636719","36.41410827636719","36.41410827636719"
"383","37.68810272216797","37.68810272216797","37.68810272216797"
"384","38.991886138916016","38.991886138916016","38.991886138916016"
"385","37.038936614990234","37.038936614990234","37.038936614990234"
"386","36.854042053222656","36.854042053222656","36.854042053222656"
"387","36.137203216552734","36.137203216552734","36.137203216552734"
"388","36.74007797241211","36.74007797241211","36.74007797241211"
"389","36.35201644897461","36.35201644897461","36.35201644897461"
"390","36.9995231628418","36.9995231628418","36.9995231628418"
"391","38.099952697753906","38.099952697753906","38.099952697753906"
"392","35.68354415893555","35.68354415893555","35.68354415893555"
"393","37.542564392089844","37.542564392089844","37.542564392089844"
"394","35.672821044921875","35.672821044921875","35.672821044921875"
"395","36.62675094604492","36.62675094604492","36.62675094604492"
"396","39.11948013305664","39.11948013305664","39.11948013305664"
"397","35.55424880981445","35.55424880981445","35.55424880981445"
"398","36.09120178222656","36.09120178222656","36.09120178222656"
"399","38.17816925048828","38.17816925048828","38.17816925048828"
"400","35.85988235473633","35.85988235473633","35.85988235473633"
"401","36.49270248413086","36.49270248413086","36.49270248413086"
"402","37.78675842285156","37.78675842285156","37.78675842285156"
"403","36.05146026611328","36.05146026611328","36.05146026611328"
"404","36.3696174621582","36.3696174621582","36.3696174621582"
"405","35.932838439941406","35.932838439941406","35.932838439941406"
"406","34.95523452758789","34.95523452758789","34.95523452758789"
"407","40.258541107177734","40.258541107177734","40.258541107177734"
"408","33.90678787231445","33.90678787231445","33.90678787231445"
"409","37.621891021728516","37.621891021728516","37.621891021728516"
"410","36.22779083251953","36.22779083251953","36.22779083251953"
"411","35.94770050048828","35.94770050048828","35.94770050048828"
"412","36.37651824951172","36.37651824951172","36.37651824951172"
"413","36.049072265625","36.049072265625","36.049072265625"
"414","38.643096923828125","38.643096923828125","38.643096923828125"
"415","34.648170471191406","34.648170471191406","34.648170471191406"
"416","36.24147415161133","36.24147415161133","36.24147415161133"
"417","38.140419006347656","38.140419006347656","38.140419006347656"
"418","36.73546600341797","36.73546600341797","36.73546600341797"
"419","36.80375289916992","36.80375289916992","36.80375289916992"
"420","37.95545196533203","37.95545196533203","37.95545196533203"
"421","34.82914733886719","34.82914733886719","34.82914733886719"
"422","35.714378356933594","35.714378356933594","35.714378356933594"
"423","35.28094482421875","35.28094482421875","35.28094482421875"
"424","35.51710510253906","35.51710510253906","35.51710510253906"
"425","36.05316925048828","36.05316925048828","36.05316925048828"
"426","35.436004638671875","35.436004638671875","35.436004638671875"
"427","38.82653045654297","38.82653045654297","38.82653045654297"
"428","36.533714294433594","36.533714294433594","36.533714294433594"
"429","34.59640121459961","34.59640121459961","34.59640121459961"
"430","35.69131851196289","35.69131851196289","35.69131851196289"
"431","35.14093780517578","35.14093780517578","35.14093780517578"
"432","35.56580352783203","35.56580352783203","35.56580352783203"
"433","35.833763122558594","35.833763122558594","35.833763122558594"
"434","36.40810775756836","36.40810775756836","36.40810775756836"
"435","37.847320556640625","37.847320556640625","37.847320556640625"
"436","38.73612976074219","38.73612976074219","38.73612976074219"
"437","37.011592864990234","37.011592864990234","37.011592864990234"
"438","37.97666931152344","37.97666931152344","37.97666931152344"
"439","38.380008697509766","38.380008697509766","38.380008697509766"
"440","36.87097930908203","36.87097930908203","36.87097930908203"
"441","36.52994918823242","36.52994918823242","36.52994918823242"
"442","38.5680046081543","38.5680046081543","38.5680046081543"
"443","37.477943420410156","37.477943420410156","37.477943420410156"
"444","35.98657989501953","35.98657989501953","35.98657989501953"
"445","39.314754486083984","39.314754486083984","39.314754486083984"
"446","37.035255432128906","37.035255432128906","37.035255432128906"
"447","36.835105895996094","36.835105895996094","36.835105895996094"
"448","36.79084014892578","36.79084014892578","36.79084014892578"
"449","39.67148971557617","39.67148971557617","39.67148971557617"
"450","36.879154205322266","36.879154205322266","36.879154205322266"
"451","37.516021728515625","37.516021728515625","37.516021728515625"
"452","34.553199768066406","34.553199768066406","34.553199768066406"
"453","34.960792541503906","34.960792541503906","34.960792541503906"
"454","37.08208465576172","37.08208465576172","37.08208465576172"
"455","40.225074768066406","40.225074768066406","40.225074768066406"
"456","37.60877227783203","37.60877227783203","37.60877227783203"
"457","36.573787689208984","36.573787689208984","36.573787689208984"
"458","35.96788024902344","35.96788024902344","35.96788024902344"
"459","37.104278564453125","37.104278564453125","37.104278564453125"
"460","36.67129898071289","36.67129898071289","36.67129898071289"
"461","36.570430755615234","36.570430755615234","36.570430755615234"
"462","36.56941223144531","36.56941223144531","36.56941223144531"
"463","36.639434814453125","36.639434814453125","36.639434814453125"
"464","36.67524337768555","36.67524337768555","36.67524337768555"
"465","37.17011642456055","37.17011642456055","37.17011642456055"
"466","37.0067138671875","37.0067138671875","37.0067138671875"
"467","36.510440826416016","36.510440826416016","36.510440826416016"
"468","36.87164306640625","36.87164306640625","36.87164306640625"
"469","34.306373596191406","34.306373596191406","34.306373596191406"
"470","37.00728988647461","37.00728988647461","37.00728988647461"
"471","36.56171417236328","36.56171417236328","36.56171417236328"
"472","37.69680404663086","37.69680404663086","37.69680404663086"
"473","36.54726791381836","36.54726791381836","36.54726791381836"
"474","38.93663787841797","38.93663787841797","38.93663787841797"
"475","36.754844665527344","36.754844665527344","36.754844665527344"
"476","36.795955657958984","36.795955657958984","36.795955657958984"
"477","36.4947395324707","36.4947395324707","36.4947395324707"
"478","35.75770568847656","35.75770568847656","35.75770568847656"
"479","36.03179168701172","36.03179168701172","36.03179168701172"
"480","36.09327697753906","36.09327697753906","36.09327697753906"
"481","37.54696273803711","37.54696273803711","37.54696273803711"
