"Step","female-silero - loss/g/kl","female-silero - loss/g/kl__MIN","female-silero - loss/g/kl__MAX"
"396","2.586811065673828","2.586811065673828","2.586811065673828"
"397","2.58524227142334","2.58524227142334","2.58524227142334"
"398","2.5679945945739746","2.5679945945739746","2.5679945945739746"
"399","2.2293100357055664","2.2293100357055664","2.2293100357055664"
"400","1.9683163166046143","1.9683163166046143","1.9683163166046143"
"401","2.5922865867614746","2.5922865867614746","2.5922865867614746"
"402","2.1325111389160156","2.1325111389160156","2.1325111389160156"
"403","1.9732216596603394","1.9732216596603394","1.9732216596603394"
"404","2.4137942790985107","2.4137942790985107","2.4137942790985107"
"405","2.323768138885498","2.323768138885498","2.323768138885498"
"406","2.344630241394043","2.344630241394043","2.344630241394043"
"407","2.7845849990844727","2.7845849990844727","2.7845849990844727"
"408","2.4940836429595947","2.4940836429595947","2.4940836429595947"
"409","2.6709799766540527","2.6709799766540527","2.6709799766540527"
"410","2.408585786819458","2.408585786819458","2.408585786819458"
"411","2.3231093883514404","2.3231093883514404","2.3231093883514404"
"412","1.897334337234497","1.897334337234497","1.897334337234497"
"413","2.497464895248413","2.497464895248413","2.497464895248413"
"414","2.616455316543579","2.616455316543579","2.616455316543579"
"415","2.0865495204925537","2.0865495204925537","2.0865495204925537"
"416","2.4391977787017822","2.4391977787017822","2.4391977787017822"
"417","2.187990665435791","2.187990665435791","2.187990665435791"
"418","2.732821226119995","2.732821226119995","2.732821226119995"
"419","2.31150484085083","2.31150484085083","2.31150484085083"
"420","2.574705123901367","2.574705123901367","2.574705123901367"
"421","2.4751157760620117","2.4751157760620117","2.4751157760620117"
"422","2.656391143798828","2.656391143798828","2.656391143798828"
"423","2.000725507736206","2.000725507736206","2.000725507736206"
"424","2.3455471992492676","2.3455471992492676","2.3455471992492676"
"425","2.551086187362671","2.551086187362671","2.551086187362671"
"426","2.309467315673828","2.309467315673828","2.309467315673828"
"427","2.550387382507324","2.550387382507324","2.550387382507324"
"428","2.4882280826568604","2.4882280826568604","2.4882280826568604"
"429","2.176234006881714","2.176234006881714","2.176234006881714"
"430","2.372257709503174","2.372257709503174","2.372257709503174"
"431","2.2263638973236084","2.2263638973236084","2.2263638973236084"
"432","2.3947415351867676","2.3947415351867676","2.3947415351867676"
"433","2.615903377532959","2.615903377532959","2.615903377532959"
"434","2.3393983840942383","2.3393983840942383","2.3393983840942383"
"435","2.2340469360351562","2.2340469360351562","2.2340469360351562"
"436","2.0036492347717285","2.0036492347717285","2.0036492347717285"
"437","2.2137317657470703","2.2137317657470703","2.2137317657470703"
"438","2.6714694499969482","2.6714694499969482","2.6714694499969482"
"439","2.215698480606079","2.215698480606079","2.215698480606079"
"440","2.3935694694519043","2.3935694694519043","2.3935694694519043"
"441","2.5864012241363525","2.5864012241363525","2.5864012241363525"
"442","2.974153757095337","2.974153757095337","2.974153757095337"
"443","2.1630072593688965","2.1630072593688965","2.1630072593688965"
"444","2.4012503623962402","2.4012503623962402","2.4012503623962402"
"445","2.006406545639038","2.006406545639038","2.006406545639038"
"446","2.4508581161499023","2.4508581161499023","2.4508581161499023"
"447","2.344062089920044","2.344062089920044","2.344062089920044"
"448","2.608182430267334","2.608182430267334","2.608182430267334"
"449","2.692605972290039","2.692605972290039","2.692605972290039"
"450","2.498509645462036","2.498509645462036","2.498509645462036"
"451","2.684739589691162","2.684739589691162","2.684739589691162"
"452","2.042339563369751","2.042339563369751","2.042339563369751"
"453","2.0523276329040527","2.0523276329040527","2.0523276329040527"
"454","2.3717758655548096","2.3717758655548096","2.3717758655548096"
"455","2.5661098957061768","2.5661098957061768","2.5661098957061768"
"456","2.9239554405212402","2.9239554405212402","2.9239554405212402"
"457","2.5833640098571777","2.5833640098571777","2.5833640098571777"
"458","2.537601947784424","2.537601947784424","2.537601947784424"
"459","2.393082618713379","2.393082618713379","2.393082618713379"
